name,ra,dec,vmag
HIP 71075,14 32 04.7578,+38 18 28.381,3.04
HIP 63125,12 56 01.8409,+38 19 05.686,2.89
HIP 4436,00 56 45.0977,+38 29 57.318,3.86
ベガ,18 36 56.1860,+38 46 58.775,0.03
HIP 14354,03 05 10.4970,+38 50 25.919,3.32
HIP 81833,16 42 53.7386,+38 55 20.860,3.48
HIP 27673,05 51 29.3926,+39 08 54.526,3.97
HIP 18532,03 57 51.2211,+40 00 36.983,2.90
ラスアルハゲ,20 22 13.7000,+40 15 24.053,2.23
HIP 73555,15 01 56.7931,+40 23 26.292,3.49
ミルファク,03 08 10.1297,+40 57 20.344,2.09
HIP 23453,05 02 28.6801,+41 04 33.202,3.69
HIP 103413,20 57 10.4116,+41 10 01.898,3.94
HIP 23767,05 06 30.8690,+41 14 04.707,3.18
HIP 50801,10 22 19.8033,+41 29 57.961,3.06
HIP 44248,09 00 38.7522,+41 47 00.398,3.96
HIP 113726,23 01 55.2465,+42 19 33.523,3.62
HIP 9640,02 03 53.9191,+42 19 47.454,2.10
HIP 17529,03 45 11.6434,+42 34 42.760,3.77
HIP 50372,10 17 05.9270,+42 54 52.087,3.45
HIP 23416,05 01 58.1340,+43 49 23.930,3.03
HIP 104060,21 04 55.8558,+43 55 40.264,3.72
HIP 54539,11 09 39.8594,+44 29 54.792,3.00
HIP 14668,03 09 29.6291,+44 51 28.400,3.79
HIP 28360,05 59 31.7694,+44 56 50.766,1.90
HIP 97165,19 44 58.4421,+45 07 50.491,2.86
デネブ,20 41 25.9134,+45 16 49.203,1.25
HIP 106481,21 33 58.8729,+45 35 31.436,3.98
カペラ,05 16 41.2956,+45 59 56.505,0.08
HIP 86414,17 39 27.8924,+46 00 22.760,3.82
HIP 79992,16 19 44.4479,+46 18 47.775,3.91
HIP 116584,23 37 33.7077,+46 27 33.034,3.81
HIP 99675,20 13 37.9027,+46 44 28.767,3.80
HIP 44471,09 03 37.5588,+47 09 23.974,3.57
HIP 19343,04 08 39.6733,+47 42 45.337,3.96
HIP 99848,20 15 28.3182,+47 42 51.139,3.96
HIP 57399,11 46 03.1341,+47 46 45.613,3.69
HIP 17358,03 42 55.4821,+47 47 15.552,3.01
HIP 44127,08 59 12.8387,+48 02 32.458,3.12
HIP 7607,01 37 59.5024,+48 37 42.551,3.59
